SRNO,Date,Customer ID,Age,Gender,Product,Category,Quantity,Price,Discount,Sales,Month,Quarter,Age Group
1,2025-01-01,1099,47,Male,Tablet,Electronics,3,18000,0.04,51840.0,2025-01,2025Q1,46-55
2,2025-01-02,1026,46,Male,Keyboard,Accessories,1,1500,0.11,1335.0,2025-01,2025Q1,46-55
3,2025-01-03,1008,23,Male,Power Bank,Accessories,5,1800,0.17,7470.0,2025-01,2025Q1,18-25
4,2025-01-04,1100,52,Female,Smart Watch,Electronics,4,5000,0.15,17000.0,2025-01,2025Q1,46-55
5,2025-01-05,1087,58,Male,Mouse,Accessories,4,800,0.16,2688.0,2025-01,2025Q1,56-65
6,2025-01-06,1042,54,Male,Tablet,Electronics,2,18000,0.13,31320.0,2025-01,2025Q1,46-55
7,2025-01-07,1172,41,Male,Speaker,Electronics,5,3500,0.14,15050.0,2025-01,2025Q1,36-45
8,2025-01-08,1014,46,Male,Headphones,Accessories,3,2500,0.17,6225.0,2025-01,2025Q1,46-55
9,2025-01-09,1078,48,Male,Tablet,Electronics,1,18000,0.05,17100.0,2025-01,2025Q1,46-55
10,2025-01-10,1002,52,Male,Power Bank,Accessories,2,1800,0.1,3240.0,2025-01,2025Q1,46-55
11,2025-01-11,1119,50,Female,Power Bank,Accessories,4,1800,0.04,6912.0,2025-01,2025Q1,46-55
12,2025-01-12,1037,38,Female,Smart Watch,Electronics,3,5000,0.2,12000.0,2025-01,2025Q1,36-45
13,2025-01-13,1069,49,Male,Mouse,Accessories,3,800,0.19,1944.0,2025-01,2025Q1,46-55
14,2025-01-14,1166,40,Male,Keyboard,Accessories,1,1500,0.01,1485.0,2025-01,2025Q1,36-45
15,2025-01-15,1041,50,Male,Smart Watch,Electronics,4,5000,0.14,17200.0,2025-01,2025Q1,46-55
16,2025-01-16,1062,20,Female,Smart Watch,Electronics,5,5000,0.19,20250.0,2025-01,2025Q1,18-25
17,2025-01-17,1060,35,Male,Headphones,Accessories,3,2500,0.04,7200.0,2025-01,2025Q1,26-35
